County_FIPS,County_Name,County_State,Hyperlink,Icon_Airports,Icon_Bridges,Icon_Demographics,Icon_Maritime,Icon_Railroad,Icon_Trips,State FIPS,State_Name,Non-Commercial -Civil Public Use Airports and Seaplane base,Non-Commercial -Other Aerodromes,Number of Bridges,Number of business establishments,Number of resident workers,Number of resident workers who commute to work in other countie,Number of resident workers who commute within county,Number of resident workers who work at home,Number of residents,Number of workers from other counties who commute to work in th,Pct of Medium to Fair Condition Bridges,Pct of Poor Condition Bridges,Percent of resident workers who commute by transit,Primary and Commercial Airports,Route miles of freight railroad,Route miles of passenger railroad and rail transit,Total Docks,Total Marinas
51740,Portsmouth city,"Portsmouth city, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,0,1,50,"1,649","43,325","24,672","18,300","1,045","96,070","25,024",0.94,0.06,0.026774,0,23.5,0,10,0
51145,Powhatan County,"Powhatan County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,0,2,36,694,"12,980","9,072","3,780",995,"28,285","9,191",0.916667,0.083333,0.001926,0,6.2,0,Null,Null
51147,Prince Edward County,"Prince Edward County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,0,4,81,528,"8,945","2,629","6,280",310,"23,075","2,668",0.938272,0.061728,0.002236,0,36.4,0,Null,Null
51149,Prince George County,"Prince George County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,0,3,111,475,"15,880","8,695","6,980",520,"37,665","8,897",0.963964,0.036036,0.002456,0,15.5,12.9,0,0
51153,Prince William County,"Prince William County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,0,5,290,"8,233","227,830","114,696","82,225","8,790","443,630","145,424",0.993103,0.006897,0.054887,0,32.4,19.1,Null,Null
51155,Pulaski County,"Pulaski County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,1,1,105,602,"15,330","6,098","9,060",355,"34,415","6,271",0.961905,0.038095,0.00424,0,27.3,0,Null,Null
51750,Radford city,"Radford city, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,Null,Null,2,312,"6,955","3,973","2,910",45,"17,185","4,048",1,0,0.007189,Null,6,0,Null,Null
51157,Rappahannock County,"Rappahannock County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,Null,Null,87,211,"3,455","1,776","1,500",275,"7,415","1,955",0.942529,0.057471,0.013025,Null,Null,Null,Null,Null
51760,Richmond city,"Richmond city, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,0,5,182,"6,176","104,500","44,985","58,705","4,025","216,775","45,774",0.884615,0.115385,0.053923,0,51,15.5,2,0
51159,Richmond County,"Richmond County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,0,3,25,170,"3,125","1,332","1,750",385,"8,870","1,377",0.92,0.08,0.0112,0,Null,Null,Null,Null
51770,Roanoke city,"Roanoke city, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,0,2,108,"3,132","46,265","17,545","28,395","1,190","99,330","17,875",1,0,0.033395,1,27.2,1.5,Null,Null
51161,Roanoke County,"Roanoke County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,0,1,179,"2,029","44,840","29,098","15,340","1,810","93,655","29,476",0.972067,0.027933,0.004215,0,34.7,4.9,Null,Null
51163,Rockbridge County,"Rockbridge County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,0,1,254,426,"9,915","5,027","4,745",615,"22,450","5,175",0.956693,0.043307,0.00353,0,57.3,8.5,Null,Null
51165,Rockingham County,"Rockingham County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,0,6,293,"1,491","37,265","17,461","19,425","2,060","78,425","17,856",0.94198,0.05802,0.002254,0,62.7,0,Null,Null
51167,Russell County,"Russell County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,0,2,136,453,"10,415","4,051","5,850",300,"27,975","4,572",0.948529,0.051471,0,0,52.3,0,Null,Null
51775,Salem city,"Salem city, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,0,2,17,"1,018","12,225","6,665","5,500",470,"25,290","6,730",0.882353,0.117647,0.005726,0,14.7,0,Null,Null
51169,Scott County,"Scott County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,0,1,138,271,"8,110",923,"3,125",195,"22,380","4,990",0.905797,0.094203,0.000493,0,66.6,0,Null,Null
51171,Shenandoah County,"Shenandoah County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,0,10,214,868,"20,060","8,152","11,315",785,"42,855","8,749",0.976636,0.023364,0.00324,0,33.4,0,Null,Null
51173,Smyth County,"Smyth County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,1,1,190,498,"12,605","3,342","8,900",300,"31,515","3,697",0.952632,0.047368,0.009917,0,23.8,0,Null,Null
51175,Southampton County,"Southampton County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,0,1,135,217,"7,660","4,717","2,690",280,"18,290","4,949",0.933333,0.066667,0.000522,0,32.3,8.3,Null,Null
51177,Spotsylvania County,"Spotsylvania County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,0,3,99,"2,522","62,875","34,966","23,945","2,685","129,180","38,933",0.959596,0.040404,0.027356,0,8.6,8.6,Null,Null
51179,Stafford County,"Stafford County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,1,5,104,"2,331","68,955","38,039","23,445","3,955","139,550","45,495",0.903846,0.096154,0.041621,0,26.4,17.9,Null,Null
51790,Staunton city,"Staunton city, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,Null,Null,7,767,"11,225","5,959","5,190",410,"24,235","6,033",1,0,0.004454,Null,9.1,4.6,Null,Null
51800,Suffolk city,"Suffolk city, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,1,5,133,"1,649","40,930","24,832","15,615","1,290","87,060","25,307",0.894737,0.105263,0.00303,0,65.5,14.7,Null,Null
51181,Surry County,"Surry County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,0,3,28,76,"3,080","2,143",940,125,"6,730","2,147",0.964286,0.035714,0.016234,0,Null,Null,1,0
51183,Sussex County,"Sussex County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,1,0,106,185,"2,880","1,749","1,085",80,"11,735","1,803",0.990566,0.009434,0.010069,0,33.5,33.5,Null,Null
51185,Tazewell County,"Tazewell County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,1,2,208,997,"15,785","1,888","11,275",665,"43,365","4,525",0.884615,0.115385,0.00095,0,70.8,0,Null,Null
51810,Virginia Beach city,"Virginia Beach city, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,0,7,118,"11,132","235,755","83,478","149,260","9,435","449,735","86,058",0.974576,0.025424,0.008632,0,3.1,0,3,0
51187,Warren County,"Warren County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,1,0,85,829,"18,100","8,993","8,210","1,050","38,805","9,862",0.988235,0.011765,0.001602,0,41.3,0,Null,Null
51191,Washington County,"Washington County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,1,1,166,"1,149","24,040","5,444","15,015","1,065","54,560","9,021",0.957831,0.042169,0.003744,0,28.1,0,Null,Null
51820,Waynesboro city,"Waynesboro city, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,Null,Null,22,622,"9,780","6,270","3,450",225,"21,365","6,328",0.909091,0.090909,0.004601,Null,10.5,3.5,Null,Null
51193,Westmoreland County,"Westmoreland County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,0,3,22,318,"7,450","3,623","2,815",750,"17,530","4,636",1,0,0.00604,0,Null,Null,Null,Null
51830,Williamsburg city,"Williamsburg city, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,0,1,9,530,"5,765","2,703","2,990",445,"14,990","2,767",1,0,0.043365,0,3.6,3.6,Null,Null
51840,Winchester city,"Winchester city, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,0,1,7,"1,372","12,540","5,223","6,455",690,"27,350","6,073",1,0,0.007576,0,7.5,0,Null,Null
51195,Wise County,"Wise County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,1,4,157,691,"13,210","2,213","10,275",320,"40,075","2,923",0.980892,0.019108,0.008706,0,93,0,Null,Null
51197,Wythe County,"Wythe County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,0,1,184,685,"12,525","3,612","8,725",405,"29,170","3,792",0.945652,0.054348,0.006786,0,29.3,0,Null,Null
51199,York County,"York County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,0,5,46,"1,462","32,670","24,239","8,075","1,370","66,920","24,553",0.956522,0.043478,0.002296,0,9.2,3.3,4,0
